rollout_id,trial_id,success,dominant_failure_mode,secondary_failure_modes,failure_stage,target_object,target_receptacle,wrong_object_name,wrong_receptacle_name,video_checked,event_log_checked,annotation_status,notes
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_016,16,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_017,17,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_018,18,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_019,19,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_020,20,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_021,21,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_022,22,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_023,23,1,success,,,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_024,24,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_025,25,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_026,26,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_027,27,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_028,28,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_029,29,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_030,30,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_031,31,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_032,32,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_033,33,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_034,34,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_035,35,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_036,36,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_037,37,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_038,38,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_039,39,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_040,40,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_041,41,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_042,42,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_043,43,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_044,44,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_045,45,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_046,46,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_047,47,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_048,48,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_049,49,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_050,50,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_051,51,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_052,52,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
